Caption,Happy,Sad,Neutral,Man,Woman,Couple,Friends,Food,Fun,Love,Philosophy
Mập thì đẹp. Ốm thì dễ thương. Lòi xương thì dễ mến.,1,0,0,0,1,0,0,1,1,0,0
Yêu thương có thể lấp đầy hết tất cả chỉ trừ… bao tử.,1,0,0,0,0,0,0,1,1,0,0
Còn tình cảm nào chân thành hơn tình yêu dành cho thức ăn.,1,0,0,0,0,0,0,1,0,0,0
"Yêu là phải nói, cũng giống như đói cần phải ăn.",1,0,0,0,0,0,0,1,0,0,0
"Độc lập tự do, ăn no rồi ngủ.",1,0,0,0,0,0,0,1,1,0,0
Bi kịch của đời người là đam mê đặc biệt với ẩm thực nhưng lại tích cực giảm cân.,0,0,1,1,1,0,0,1,1,0,0
"Tiền là nhất, đồ ăn là nhì, vì không có tiền nên sẽ không có đồ ăn.",1,0,0,0,0,0,0,1,1,0,0
"Hãy cho tôi một đôi đũa, tôi sẽ ăn cả thế giới.",1,0,0,0,0,0,0,1,0,0,0
"Bố mẹ cho tiền ăn học, học không được thì cố mà ăn thôi.",1,0,0,0,0,0,0,1,1,0,0
Có một loại mất trí nhớ mang tính lựa chọn: Rốt cuộc thì hôm nay mình đã ăn chưa nhỉ.,1,0,0,0,0,0,0,1,0,0,0
"Ai mà biết trước được cuộc đời sẽ ra sao, thế nên hãy ăn món tráng miệng trước.",1,0,0,0,0,0,0,1,0,0,1
Chỉ nên ăn kiêng khi bạn đang chờ thịt được nấu chín mà thôi.,1,0,0,0,0,0,0,1,1,0,0
Mọi hạnh phúc trên đời đều xuất phát từ một bữa ăn sáng nhàn nhã.,1,0,0,0,0,0,0,1,0,0,0
Đồ ăn chính là biểu tượng của tình yêu khi không còn từ ngữ nào để diễn tả.,0,0,1,0,0,0,0,1,0,0,1
Sáng nào cũng ăn phở thì bảo sao ngày ngày đều nhớ về bóng hình anh!,1,0,0,0,1,0,0,1,0,0,0
"Tình yêu chỉ là hạt cát, vì đồ ăn đã lấn át tình yêu.",1,0,0,0,0,0,0,1,1,0,0
"Có lẽ cô đơn lâu quá khiến người ta trở nên dễ tính, chỉ cần một ánh mắt cũng đủ làm ta thao thức cả đêm.",1,0,0,1,1,0,0,1,0,1,1
"Nếu như ăn là sai, thì tôi đây không cần đúng.",1,0,0,0,0,0,0,1,1,0,1
Mỗi lần tôi giảm cân mà thèm ăn tôi đều tự nói với bản thân: “Ăn nữa sẽ chết!”. Và kết quả chứng minh: Căn bản là tôi không hề sợ chết!,1,0,0,0,0,0,0,1,1,0,0
Em không còn là một cô gái đợi anh nữa. Giờ em là cô gái đợi ăn.,1,0,0,0,1,0,0,1,1,0,0
"Em cũng chỉ là con gái thôi. Buồn là ăn, không ăn là buồn.",1,0,0,0,0,0,0,1,1,0,0
"Đừng yêu người chỉ biết nói lời ngon tiếng ngọt, hãy yêu người nấu đồ ngon ngọt cho bạn ăn.",1,0,0,1,0,0,0,1,0,1,0
"Nhiều người hỏi tôi yêu hay ăn quan trọng hơn, tôi không trả lời vì tôi đang bận nhai.",1,0,0,1,0,0,0,1,1,0,0
Ở đời lòng người thì thường không thơm ngon như lòng lợn!,1,0,0,0,0,0,0,1,1,0,0
"Ở đời, người duy nhất vì ta mà nhảy vào nước sôi lửa bỏng chỉ có mỳ tôm chứ không có ai khác",1,0,0,1,0,0,0,1,1,0,0
Ông trời tạo ra địa chấn. Và cái bụng mỡ của em chính là điểm nhấn.,1,0,0,0,1,0,0,0,1,0,0
Thanh xuân như một ly trà. Ăn vài miếng bánh hết bà thanh xuân,1,0,0,0,0,0,0,1,1,0,0
Độc thân không phải là ế mà đang tìm người tử tế để yêu.,0,0,1,0,1,0,0,0,0,0,0
"Một phụ nữ toàn diện là: Sáng diện, trưa diện, chiều diện, tối diện…",1,0,0,0,1,0,0,0,1,0,0
Ta về ta tắm ao ta. Dù trong dù đục cũng là cái ao.,1,0,0,0,0,0,0,0,1,0,1
